"title_id","dept_no","dept_name","emp_no","last_name","first_name"
"m0001","d009","Customer Service",111877,"Spinelli","Xiaobin"
"m0001","d008","Research",111534,"Kambil","Hilary"
"m0001","d006","Quality Management",110765,"Hofmeyr","Rutger"
"m0001","d004","Production",110420,"Ghazalie","Oscar"
"m0001","d006","Quality Management",110725,"Onuegbe","Peternela"
"m0001","d001","Marketing",110022,"Markovitch","Margareta"
"m0001","d007","Sales",111035,"Kaelbling","Przemyslawa"
"m0001","d005","Development",110511,"Hagimont","DeForest"
"m0001","d003","Human Resources",110183,"Ossenbruggen","Shirish"
"m0001","d005","Development",110567,"DasSarma","Leon"
"m0001","d009","Customer Service",111939,"Weedman","Yuchang"
"m0001","d002","Finance",110114,"Legleitner","Isamu"
"m0001","d006","Quality Management",110800,"Quadeer","Sanjoy"
"m0001","d006","Quality Management",110854,"Pesch","Dung"
"m0001","d001","Marketing",110039,"Minakawa","Vishwani"
"m0001","d004","Production",110303,"Wegerle","Krassimir"
"m0001","d003","Human Resources",110228,"Sigstam","Karsten"
"m0001","d008","Research",111400,"Staelin","Arie"
"m0001","d004","Production",110344,"Cools","Rosine"
"m0001","d009","Customer Service",111692,"Butterworth","Tonny"
"m0001","d007","Sales",111133,"Zhang","Hauke"
"m0001","d002","Finance",110085,"Alpin","Ebru"
"m0001","d009","Customer Service",111784,"Giarratana","Marjo"
"m0001","d004","Production",110386,"Kieras","Shem"
